# p_MeV sigma_reaction_mb (ACHILLES proton transparency, radius=10fm)
9.500000000000000000e+01 3.158650502034607257e+02
1.250000000000000000e+02 4.094320447458218268e+02
1.550000000000000000e+02 4.699753941555848655e+02
1.850000000000000000e+02 5.066683331918049475e+02
2.150000000000000000e+02 5.562038008907019275e+02
2.450000000000000000e+02 5.470305661316468786e+02
2.750000000000000000e+02 5.669059081095994088e+02
3.050000000000000000e+02 5.103376270954269103e+02
3.350000000000000000e+02 4.650830022840888773e+02
3.650000000000000000e+02 4.286958377398373159e+02
3.950000000000000000e+02 3.822181149606252575e+02
4.250000000000000000e+02 3.571446066192082753e+02
4.550000000000000000e+02 3.014936490809412248e+02
4.850000000000000000e+02 2.984359041612562464e+02
